date,product_id,product_name,shop_id,platform,category,listed_price,discount_percentage,price_after_discount,rating,review_count,shop_rating,is_campaign_day,is_q4_sale,quantity_sold,revenue
2022-01-01,P0151,SSD Samsung 990 Pro 2TB,S008,Shopee,Linh kiện PC,7647208.0,0.36,4894213.0,4.2,4021,4.1,True,False,645,3156767385.0
2022-01-01,P0050,Apple Watch Ultra 2,S010,TiktokShop,Thiết bị đeo,3811597.0,0.26,2820582.0,4.1,2013,4.3,True,False,1217,3432648294.0
2022-01-01,P0079,Chuột Logitech MX Master 3S,S010,Shopee,Phụ kiện,3301431.0,0.3,2311002.0,4.7,1268,4.0,True,False,1975,4564228950.0
2022-01-01,P0056,Asus ROG Zephyrus G16 Đen 128GB,S020,TiktokShop,Laptop,21838178.0,0.02,21401414.0,4.0,241,4.2,True,False,186,3980663004.0
2022-01-01,P0058,Lenovo Legion 5i Bạc 512GB,S020,TiktokShop,Laptop,31642069.0,0.33,21200186.0,4.4,4733,4.4,True,False,514,10896895604.0
2022-01-01,P0187,iPhone 15 Pro Xanh 256GB,S020,Lazada,Điện thoại,20631763.0,0.13,17949634.0,3.9,4892,4.3,True,False,236,4236113624.0
2022-01-01,P0116,Loa Bluetooth JBL Charge 5,S021,TiktokShop,Phụ kiện,5560426.0,0.06,5226800.0,4.5,301,4.4,True,False,2034,10631311200.0
2022-01-01,P0134,Samsung Galaxy Watch 6,S022,Lazada,Thiết bị đeo,10590803.0,0.23,8154918.0,3.9,2752,4.8,True,False,923,7526989314.0
2022-01-01,P0177,Oppo Reno11 Xanh 128GB,S039,TiktokShop,Điện thoại,16144594.0,0.39,9848202.0,4.3,1564,4.9,True,False,824,8114918448.0
2022-01-01,P0162,Xiaomi Band 8 Pro,S040,Lazada,Thiết bị đeo,2478931.0,0.06,2330195.0,4.4,2530,4.2,True,False,565,1316560175.0
2022-01-01,P0019,Samsung Galaxy Watch 6,S042,Lazada,Thiết bị đeo,15474959.0,0.23,11915718.0,3.7,4940,4.8,True,False,977,11641656486.0
2022-01-01,P0051,Samsung S24 Ultra Đen 256GB,S049,Shopee,Điện thoại,21718462.0,0.2,17374770.0,4.1,1582,4.6,True,False,340,5907421800.0
2022-01-01,P0177,Oppo Reno11 Xanh 128GB,S050,Tiki,Điện thoại,15726338.0,0.11,13996441.0,4.9,447,4.9,True,False,313,4380886033.0
2022-01-02,P0008,Kính thực tế ảo Meta Quest 3,S002,TiktokShop,Thiết bị đeo,3675471.0,0.05,3491697.0,4.5,1115,4.4,False,False,195,680880915.0
2022-01-02,P0021,Samsung S24 Ultra Đen 512GB,S004,Shopee,Điện thoại,21721602.0,0.12,19115010.0,4.5,2936,4.7,False,False,106,2026191060.0
2022-01-02,P0132,Asus ROG Zephyrus G16 Trắng 1TB,S004,TiktokShop,Laptop,24173442.0,0.1,21756098.0,4.7,339,5.0,False,False,100,2175609800.0
2022-01-02,P0137,SSD Samsung 990 Pro 2TB,S008,TiktokShop,Linh kiện PC,12873165.0,0.08,11843312.0,4.2,956,4.8,False,False,143,1693593616.0
2022-01-02,P0138,Dell XPS 13 Xanh 256GB,S009,Tiki,Laptop,46096773.0,0.0,46096773.0,4.3,2709,4.1,False,False,24,1106322552.0
2022-01-02,P0072,Samsung Galaxy Watch 6,S012,Lazada,Thiết bị đeo,9905342.0,0.02,9707235.0,4.9,600,4.6,False,False,168,1630815480.0
2022-01-02,P0068,Xiaomi Band 8 Pro,S013,TiktokShop,Thiết bị đeo,15749854.0,0.3,11024898.0,4.8,2041,4.6,False,False,381,4200486138.0
2022-01-02,P0048,VGA RTX 4070 Super,S019,TiktokShop,Linh kiện PC,8766837.0,0.34,5786112.0,4.2,2006,4.2,False,False,157,908419584.0
2022-01-02,P0177,Oppo Reno11 Xanh 128GB,S019,Tiki,Điện thoại,17228222.0,0.1,15505400.0,3.9,2757,4.6,False,False,36,558194400.0
2022-01-02,P0038,RAM Corsair 32GB DDR5,S027,Lazada,Linh kiện PC,9310992.0,0.21,7355684.0,3.6,1526,4.1,False,False,51,375139884.0
2022-01-02,P0065,Samsung Galaxy Watch 6,S039,TiktokShop,Thiết bị đeo,10975168.0,0.35,7133859.0,4.3,4514,4.8,False,False,406,2896346754.0
2022-01-02,P0162,Xiaomi Band 8 Pro,S041,Shopee,Thiết bị đeo,2581621.0,0.29,1832951.0,4.1,4327,4.5,False,False,198,362924298.0
2022-01-02,P0160,Kính thực tế ảo Meta Quest 3,S047,Tiki,Thiết bị đeo,3368231.0,0.19,2728267.0,4.0,112,4.2,False,False,69,188250423.0
2022-01-02,P0168,Samsung S24 Ultra Xanh 512GB,S047,Tiki,Điện thoại,26620457.0,0.33,17835706.0,4.9,865,4.7,False,False,96,1712227776.0
2022-01-03,P0100,Lenovo Legion 5i Đen 256GB,S002,TiktokShop,Laptop,37495119.0,0.28,26996486.0,3.7,422,5.0,False,False,86,2321697796.0
2022-01-03,P0042,CPU Intel Core i7-14700K,S010,Lazada,Linh kiện PC,7612429.0,0.15,6470565.0,4.7,323,4.4,False,False,100,647056500.0
2022-01-03,P0087,CPU Intel Core i7-14700K,S011,TiktokShop,Linh kiện PC,8677311.0,0.24,6594756.0,3.7,4273,4.7,False,False,135,890292060.0
2022-01-03,P0045,Lenovo Legion 5i Trắng 512GB,S015,TiktokShop,Laptop,20521501.0,0.27,14980696.0,4.6,3029,4.4,False,False,96,1438146816.0
2022-01-03,P0023,Oppo Reno11 Bạc 128GB,S019,Lazada,Điện thoại,20993045.0,0.21,16584506.0,4.3,2944,4.2,False,False,74,1227253444.0
2022-01-03,P0003,Apple Watch Ultra 2,S021,Shopee,Thiết bị đeo,7819784.0,0.14,6725014.0,3.7,1496,4.2,False,False,119,800276666.0
2022-01-03,P0177,Oppo Reno11 Xanh 128GB,S024,TiktokShop,Điện thoại,17486259.0,0.17,14513595.0,4.4,3067,4.5,False,False,137,1988362515.0
