category,sub_category,product_id,title,sku_id,currency_name,sale_price_format,origin_price_format,discount_format,score,review_count,sold_count,seller_id,shop_name,updated_at,canonical_url
mobile-phone-accessories,phone-holders-mounts,1730875818363095375,"Giá đỡ điện thoại để bàn gấp gọn Phụ Kiện Phone, có thể điều chỉnh góc độ từ 0-72 độ",1730875915520608591,VND,15.840,16.800,6%,4.2,6,56,7495436733378234703,Gia Dụng Đông SG,1754577828091,https://www.tiktok.com/shop/vn/pdp/gia-%C4%91o-%C4%91ien-thoai-gap-gon-%C4%91ieu-chinh-%C4%91o-song-tu-0-72/1730875818363095375
mobile-phone-accessories,phone-holders-mounts,1731902377818359597,"UGREEN Tay Cầm Giá Đỡ Nhẫn Nam Châm Magnetic, Gập Gọn Tiện Lợi, Giá Đỡ Điện Thoại Vô Hình, Tương Thích iPhone 17 16 15 Pro Max & Samsung S24 Ultra, Mã: 65228",1731902412253857581,VND,177.000,199.000,11%,4.9,18,164,7495889090776632109,UGREEN Vietnam Shop,1755098609791,https://www.tiktok.com/shop/vn/pdp/tay-cam-gia-%C4%91o-nhan-nam-cham-magsafe-ugreen-tuong-thich-iphone-15-pro-max-samsung-s24-ultra-mau/1731902377818359597
mobile-phone-accessories,phone-holders-mounts,1731539368304871484,"XT02 Giá Đỡ Điện Thoại, Điều Khiển Bluetooth Không Dây, Dài 68cm, Có Thể Dùng Làm Giá Đỡ Điện Thoại",1731539368304937020,VND,29.500,59.000,50%,5.0,1,14,7495695696864512060,Vietnam Digital,1754843109985,https://www.tiktok.com/shop/vn/pdp/gia-%C4%91o-%C4%91ien-thoai-xt02-%C4%91ieu-khien-bluetooth-dai-68cm-abs-%C4%91en/1731539368304871484
mobile-phone-accessories,phone-holders-mounts,1730933320367835610,"Giá Kẹp Đỡ Điện Thoại/ MTB Kim Loại Có Khớp Chỉnh, Kẹp Bàn, Đầu Giường, Dùng Cho Livestream, Xem Phim Chống Mỏi Tay",1730933390214662618,VND,169.000,209.000,19%,4.3,50,877,7495167370511419866,TINAN Office,1754578558083,https://www.tiktok.com/shop/vn/pdp/gia-%C4%91o-%C4%91ien-thoai-may-tinh-bang-thiet-ke-linh-hoat/1730933320367835610
mobile-phone-accessories,phone-holders-mounts,1730074519394945073,"Giá Đỡ Điện Thoại, Ipad Hình Tai Thỏ Màu Sắc Pastel Phụ Kiện Phone",1730074519395076145,VND,18.500,30.000,38%,4.6,90,912,7495158204168833073,Masknoidiatrung.1997,1754837627680,https://www.tiktok.com/shop/vn/pdp/gia-%C4%91o-%C4%91ien-thoai-hinh-tai-tho-pastel-chong-truot-tien-loi/1730074519394945073
mobile-phone-accessories,phone-holders-mounts,1730785903271053460,"Giá Đỡ Điện Thoại - Xoay 360 Độ, Bản Lề Cứng Cáp Chắc Chắn, Đế Kê Điện Thoại Xem Livestream, Xem Phim",1730786458282723476,VND,48.000,59.000,19%,0.0,0,2251,7494934450043848852,FUSION-X STORE,1754839121296,https://www.tiktok.com/shop/vn/pdp/gia-%C4%91o-%C4%91ien-thoai-xoay-360-%C4%91o-chat-lieu-nhom-nhua-%C4%91e-ke-chac-chan/1730785903271053460
mobile-phone-accessories,phone-holders-mounts,1732711436972951225,"Giá Chân Đế Điện Thoại Siêu Mỏng, Kích Thước Nhỏ, Thiết Kế Sáng Tạo, Có Thể Gập Lại Và Cầm Tay Giá Đỡ Đa Năng",1732711436973016761,VND,59.000,118.000,50%,0.0,0,11,8651546901341111993,BODABAIHUO,1759503159401,https://www.tiktok.com/shop/vn/pdp/gia-%C4%91o-%C4%91ien-thoai-sieu-mong-thiet-ke-sang-tao-gap-gon/1732711436972951225
mobile-phone-accessories,phone-holders-mounts,1731962806403892598,Giá Đỡ điện thȯại Gỗ Thú Lớn,1731962905010144630,VND,10.000,,,4.3,16,142,7494570109035841910,tinphongshop,0,https://www.tiktok.com/shop/vn/pdp/1731962806403892598
mobile-phone-accessories,phone-holders-mounts,1732826685112878543,"Giá đỡ điện thoại xe máy SSGD-03, giá đỡ gắn chân gương và gắn ghi đông, nhiều màu để lựa chọn, dễ sử dựng và lắp rắp",1732827905457227215,VND,36.000,60.000,40%,0.0,0,6,7494192347220182479,Sang sang lighting,1760797239711,https://www.tiktok.com/shop/vn/pdp/gia-%C4%91o-%C4%91ien-thoai-xe-may-ssgd-03-gan-chan-guong-ghi-%C4%91ong-nhieu-mau/1732826685112878543
mobile-phone-accessories,phone-holders-mounts,1732091799967663855,"Giá đỡ điện thoại máy tính bảng  Kệ để ipad, taplet để bàn Acrylic chân xoay 360 độ gấp gọn tiện lợi S119",1732091823258568431,VND,8.000,,,4.8,6,60,7496304347120700143,Chợsiphụkiệnthanhlý,1755008717161,https://www.tiktok.com/shop/vn/pdp/gia-%C4%91o-ipad-nhua-s119-xoay-360-%C4%91o-gap-gon-chat-lieu-acrylic/1732091799967663855
